neuron,mtype,n_syn,n_partners_k5,median_compact,frac_sig_k5,enrich_k5,shuffle_real,shuffle_null,soma_null_p
exc_23P,23P,1063,63,0.859,0.476,9.5,0.524,0.005,0.0
exc_23P_2,23P,937,43,0.882,0.512,10.2,-,-,0.0001
exc_4P,4P,990,61,0.876,0.443,8.9,-,-,0.0006
exc_5PIT,5P-IT,1199,41,0.9,0.268,5.4,-,-,0.0
exc_5PET,5P-ET,2490,107,0.859,0.327,6.5,0.411,0.005,0.0
exc_6PCT,6P-CT,488,14,0.896,0.143,2.9,-,-,0.0015
inh_BC,BC,1617,37,0.923,0.324,6.5,0.243,0.005,0.0142
inh_BC_2,BC,1491,58,0.933,0.259,5.2,-,-,0.0
inh_MC,MC,1584,41,0.881,0.415,8.3,-,-,0.0106
inh_MC_2,MC,1230,18,0.69,0.556,11.1,-,-,0.0
inh_BPC,BPC,669,23,0.82,0.043,0.9,-,-,0.0
inh_BPC_2,BPC,586,8,0.949,0.0,0.0,-,-,0.0
